HATLASDR1,RA,DEC,S500,eS500,S350,eS350,S250,eS250,ZA,ErrorZA,ZB,ErrorZB
J090405.3-003331,136.0220833333333,-0.5586111111111111,76.0,10.0,98.0,8.0,85.0,7.0,2.569999933242798,0.4099999964237213,2.5464291447451073,0.06214161113793562
J085751.3+013334,134.46374999999998,1.5594444444444442,64.0,10.0,90.0,8.0,88.0,7.0,2.2899999618530273,0.3799999952316284,2.2642180701861045,0.07472785854601653
J085900.3+001405,134.75124999999997,0.2347222222222222,50.0,10.0,92.0,8.0,89.0,7.0,2.059999942779541,0.38999998569488525,2.1026576148772738,0.1355535320445691
J091351.7-002340,138.46541666666664,-0.3944444444444444,48.0,10.0,89.0,8.0,90.0,7.0,1.9900000095367432,0.3700000047683716,1.9457819110384165,0.3192071204179611
J090446.4+022218,136.19333333333333,2.371666666666666,61.0,9.0,86.0,8.0,87.0,7.0,2.240000009536743,0.3799999952316284,2.216917418041713,0.09412252002992594
J091003.5+021028,137.51458333333332,2.174444444444444,46.0,9.0,86.0,8.0,87.0,7.0,1.9700000286102295,0.3700000047683716,2.0138821998533945,0.11815880897897045
J090429.6+002935,136.1233333333333,0.49305555555555547,60.0,10.0,86.0,8.0,85.0,7.0,2.180000066757202,0.6000000238418579,2.231296329470787,0.06599008451488766
J090032.7+004316,135.13625,0.721111111111111,50.0,10.0,85.0,8.0,85.0,7.0,2.0799999237060547,0.36000001430511475,2.094897408560888,0.058337291535836514
J090613.7-010044,136.5570833333333,-1.0122222222222221,69.0,9.0,86.0,8.0,79.0,7.0,2.5199999809265137,0.4099999964237213,2.501050456359795,0.13270750552769106
J090453.2+022018,136.22166666666664,2.338333333333333,88.0,9.0,107.0,8.0,83.0,7.0,2.799999952316284,0.4399999976158142,2.803431264262394,0.02392373357525143
J085855.3+013728,134.73041666666666,1.6244444444444441,68.0,9.0,92.0,8.0,80.0,7.0,2.509999990463257,0.4000000059604645,2.496652062960634,0.02122752837702079
J090346.1+013428,135.94208333333333,1.5744444444444443,68.0,9.0,91.0,8.0,79.0,7.0,2.5299999713897705,0.4099999964237213,2.510397130685592,0.029057159023960864
J090954.6+001754,137.4775,0.2983333333333333,76.0,10.0,111.0,8.0,83.0,7.0,2.6700000762939453,0.47999998927116394,2.658676077969132,0.1846289665535457
J090954.6+001754,137.4775,0.2983333333333333,76.0,10.0,111.0,8.0,83.0,7.0,2.6700000762939453,0.47999998927116394,2.658676077969132,0.1846289665535457
J090440.0-013439,136.16666666666666,-1.5775,76.0,9.0,98.0,8.0,76.0,7.0,2.75,0.4399999976158142,2.7296652592045425,0.03297405440012088
J090950.8+000427,137.46166666666664,0.07416666666666666,68.0,9.0,92.0,8.0,81.0,7.0,2.5,0.4000000059604645,2.4783922785821972,0.030995748571030383
